nominal;data;curs;cdx
1;18.05.2023;89,6981;Швейцарский франк
1;17.05.2023;89,5731;Швейцарский франк
1;16.05.2023;88,1734;Швейцарский франк
1;13.05.2023;86,5614;Швейцарский франк
1;12.05.2023;84,8062;Швейцарский франк
1;11.05.2023;86,1041;Швейцарский франк
1;06.05.2023;86,1122;Швейцарский франк
1;05.05.2023;88,5391;Швейцарский франк
1;04.05.2023;89,34;Швейцарский франк
1;03.05.2023;89,0334;Швейцарский франк
1;29.04.2023;89,8541;Швейцарский франк
1;28.04.2023;91,3839;Швейцарский франк
1;27.04.2023;91,7265;Швейцарский франк
1;26.04.2023;92,0012;Швейцарский франк
1;25.04.2023;91,3505;Швейцарский франк
1;22.04.2023;91,1684;Швейцарский франк
1;21.04.2023;91,1229;Швейцарский франк
1;20.04.2023;90,8791;Швейцарский франк
1;19.04.2023;91,0746;Швейцарский франк
1;18.04.2023;91,2145;Швейцарский франк
1;15.04.2023;91,7637;Швейцарский франк
1;14.04.2023;91,6162;Швейцарский франк
1;13.04.2023;90,9118;Швейцарский франк
1;12.04.2023;90,8969;Швейцарский франк
1;11.04.2023;90,3849;Швейцарский франк
1;08.04.2023;91,1088;Швейцарский франк
1;07.04.2023;89,1987;Швейцарский франк
1;06.04.2023;87,8604;Швейцарский франк
1;05.04.2023;87,023;Швейцарский франк
1;04.04.2023;84,951;Швейцарский франк
1;01.04.2023;84,3864;Швейцарский франк
1;31.03.2023;84,1278;Швейцарский франк
1;30.03.2023;83,6809;Швейцарский франк
1;29.03.2023;83,4993;Швейцарский франк
1;28.03.2023;83,5693;Швейцарский франк
1;25.03.2023;83,2222;Швейцарский франк
1;24.03.2023;83,3594;Швейцарский франк
1;23.03.2023;83,4846;Швейцарский франк
1;22.03.2023;82,915;Швейцарский франк
1;21.03.2023;83,1187;Швейцарский франк
1;18.03.2023;82,7351;Швейцарский франк
1;17.03.2023;82,4266;Швейцарский франк
1;16.03.2023;82,4667;Швейцарский франк
1;15.03.2023;82,4843;Швейцарский франк
1;14.03.2023;82,6969;Швейцарский франк
1;11.03.2023;81,6478;Швейцарский франк
1;10.03.2023;80,963;Швейцарский франк
1;08.03.2023;80,9111;Швейцарский франк
1;07.03.2023;80,7887;Швейцарский франк
1;04.03.2023;80,4555;Швейцарский франк
1;03.03.2023;80,1284;Швейцарский франк
1;02.03.2023;80,2681;Швейцарский франк
1;01.03.2023;79,852;Швейцарский франк
1;28.02.2023;80,1533;Швейцарский франк
1;23.02.2023;80,5485;Швейцарский франк
1;22.02.2023;80,9994;Швейцарский франк
1;21.02.2023;80,1507;Швейцарский франк
1;18.02.2023;80,1961;Швейцарский франк
1;17.02.2023;81,0184;Швейцарский франк
1;16.02.2023;80,442;Швейцарский франк
1;15.02.2023;80,6205;Швейцарский франк
1;14.02.2023;79,7473;Швейцарский франк
1;11.02.2023;78,8649;Швейцарский франк
1;10.02.2023;79,363;Швейцарский франк
1;09.02.2023;77,9528;Швейцарский франк
1;08.02.2023;76,5411;Швейцарский франк
1;07.02.2023;76,439;Швейцарский франк
1;04.02.2023;77,1001;Швейцарский франк
1;03.02.2023;77,1551;Швейцарский франк
1;02.02.2023;76,5354;Швейцарский франк
1;01.02.2023;76,0952;Швейцарский франк
1;31.01.2023;75,6936;Швейцарский франк
1;28.01.2023;75,2683;Швейцарский франк
1;27.01.2023;75,17;Швейцарский франк
1;26.01.2023;74,71;Швейцарский франк
1;25.01.2023;74,5531;Швейцарский франк
1;24.01.2023;74,7916;Швейцарский франк
1;21.01.2023;74,6122;Швейцарский франк
1;20.01.2023;75,1355;Швейцарский франк
1;19.01.2023;75,4109;Швейцарский франк
1;18.01.2023;74,3524;Швейцарский франк
1;17.01.2023;73,8182;Швейцарский франк
1;14.01.2023;72,7702;Швейцарский франк
1;13.01.2023;72,8008;Швейцарский франк
1;12.01.2023;74,77;Швейцарский франк
1;11.01.2023;75,6624;Швейцарский франк
1;10.01.2023;76,0413;Швейцарский франк
1;31.12.2022;76,1805;Швейцарский франк
1;30.12.2022;77,9487;Швейцарский франк
1;29.12.2022;76,6782;Швейцарский франк
1;28.12.2022;75,3119;Швейцарский франк
1;27.12.2022;73,498;Швейцарский франк
1;24.12.2022;73,7421;Швейцарский франк
1;23.12.2022;78,1141;Швейцарский франк
1;22.12.2022;76,1369;Швейцарский франк
1;21.12.2022;74,51;Швейцарский франк
1;20.12.2022;71,3183;Швейцарский франк
1;17.12.2022;69,4857;Швейцарский франк
1;16.12.2022;69,2233;Швейцарский франк
1;15.12.2022;68,3484;Швейцарский франк
1;14.12.2022;67,4981;Швейцарский франк
1;13.12.2022;67,2604;Швейцарский франк
1;10.12.2022;66,7823;Швейцарский франк
1;09.12.2022;66,3966;Швейцарский франк
1;08.12.2022;66,8265;Швейцарский франк
1;07.12.2022;66,6705;Швейцарский франк
1;06.12.2022;66,5506;Швейцарский франк
1;03.12.2022;66,0482;Швейцарский франк
1;02.12.2022;64,7753;Швейцарский франк
1;01.12.2022;64,0441;Швейцарский франк
